"I.identify.as.","My.generation.is.","Where.were.you.born.","Where.do.you.currently.live.","My.immigration.status.is.","I.describe.my.ethnic.background.as...ie..Asian.Laotian..Asian.Vietnamese..Asian.Korean..Asian.Japanese..etc.","What.is.your.individual.annual.income.","My.marital.status.is.","What.is.your.highest.level.of.education.","What.is.your.parents.highest.level.of.education.","I.take.care.of.others.financially.","I.consider.myself.the.primary.person.in.charge.of.finances.and.investment.decisions.in.my.family.","My.net.worth..including.all.properties.owned..investments..other.assets.minus.debts.is.approximately"
"Female","Millennial (Ages 26-41)","Los Angeles ","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Chinese","100-150k","Married","Graduate","Middle School or less","Yes","Neutral","1M +"
"Female","Gen Z (Ages 10-25)","Honolulu, Hawaii","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Chinese","50-100k","Living with partner","Undergraduate","Middle School or less","Yes","Agree","950k"
"Male","Millennial (Ages 26-41)","1984","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-chinese","200k+","Single","Graduate","Middle School or less","Yes","Strongly Agree","These ranges seem low for net worth?"
"Male","Millennial (Ages 26-41)","china","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","chinese","200k+","Single","Undergraduate","Middle School or less","Yes","Agree","1000000"
"Female","Millennial (Ages 26-41)","1990","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Chinese","100-150k","Single","Undergraduate","Middle School or less","No","Strongly Agree","100-150k"
"Female","Gen X (Ages 42-57)","Cambodia","Pacific","Immigrant (Naturalized, got citizenship)","Asian- Cambodian /Chinese ","200k+","Widowed ","Undergraduate","Middle School or less","Yes","Strongly Agree","2.8 million "
"Male","Millennial (Ages 26-41)","California","Pacific","Second Generation (You are a child of first generation)","Chinese","150k-200k","Married","Graduate","Middle School or less","Yes","Agree",">500k"
"Female","Millennial (Ages 26-41)","Pacific","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Chinese","50-100k","Married","Undergraduate","Middle School or less","Yes","Agree","200-250k"
"Male","Millennial (Ages 26-41)","New York City","South","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Chinese","<50k","Single","Graduate","Middle School or less","No","Strongly Agree","150k+"
"Male","Millennial (Ages 26-41)","Not in the US","Northeast","Immigrant (Naturalized, got citizenship)","Tibetan","200k+","Single","Undergraduate","Middle School or less","Yes","Agree",">150k"
"Female","Gen X (Ages 42-57)","Bangkok, Thailand ","Pacific","Immigrant (Naturalized, got citizenship)","Cambodian","200k+","Single","Undergraduate","Middle School or less","Yes","Agree","2M"
"Female","Gen X (Ages 42-57)","Vietnam","Pacific","Immigrant (Naturalized, got citizenship)","Asian- Chinese","100-150k","Married","Graduate","Not educated in US. Elementary education in their country.","Yes","Agree","$6M"
"Female","Gen X (Ages 42-57)","Cambodia- Parents migrated from China","Pacific","Immigrant (Naturalized, got citizenship)","Chinese","100-150k","Married","Trade School or Associate","Some college before leaving China","Yes","Strongly Agree",""
"Female","Gen X (Ages 42-57)","Philippines","Pacific","Immigrant (Naturalized, got citizenship)","Asian - Filipino ","200k+","Married","Undergraduate","Trade School or Associate","Yes","Strongly Agree","100-150k"
"Male","Millennial (Ages 26-41)","San Jose CA","South","First Generation Citizen (You are a child of someone who immigrated to US)","Asian Viernamese","150k-200k","Single","Graduate","Trade School or Associate","No","Agree","200k"
"Female","Gen Z (Ages 10-25)","California","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian","50-100k","Single","Undergraduate","Trade School or Associate","No","Neutral","100-150k"
"Female","Millennial (Ages 26-41)","Wadsworth, OH","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian (Chinese & Taiwanese) American","50-100k","Single","Undergraduate","Trade School or Associate","No","Strongly Agree","51-100k"
"Female","Millennial (Ages 26-41)","Liberia","Pacific","Immigrant (Naturalized, got citizenship)","African","100-150k","Living with partner","Graduate","Trade School or Associate","Yes","Agree","10-20k"
"Female","Millennial (Ages 26-41)","Wadsworth, Ohio","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese-American","<50k","Single","Undergraduate","Trade School or Associate","No","Strongly Agree","51-100k"
"Female","Millennial (Ages 26-41)","Japan","Pacific","Immigrant (Naturalized, got citizenship)","Asian- Japanese","100-150k","Single","Undergraduate","Undergraduate","No","Agree","51-100k"
"Male","Millennial (Ages 26-41)","Malaysia","Pacific","Immigrant (Naturalized, got citizenship)","Chinese","200k+","Single","Undergraduate","Undergraduate","No","Neutral","400k-500k"
"Female","Millennial (Ages 26-41)","Los Angeles","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Taiwanese","100-150k","Living with partner","Undergraduate","Undergraduate","No","Strongly Agree","51-100k"
"Male","Gen Z (Ages 10-25)","United States","South","First Generation Citizen (You are a child of someone who immigrated to US)","Asian-Taiwanese","200k+","Single","Undergraduate","Undergraduate","Yes","Strongly Agree",""
"Female","Millennial (Ages 26-41)","Philippines ","Pacific","Second Generation (You are a child of first generation)","Filipino ","200k+","Divorced","Undergraduate","Undergraduate","Yes","Strongly Agree","100-150k"
"Male","Millennial (Ages 26-41)","Germany","Midwest","Immigrant (Naturalized, got citizenship)","Asian-Chinese","100-150k","Married","High School","Undergraduate","Yes","Strongly Agree","800000"
"Female","Gen X (Ages 42-57)","South Korea","Northeast","Immigrant (Naturalized, got citizenship)","Asian-Korean","200k+","Married","Undergraduate","Undergraduate","Yes","Agree","$1 mil +"
"Male","Millennial (Ages 26-41)","1991","Pacific","Second Generation (You are a child of first generation)","Japanese","200k+","Married","Undergraduate","Undergraduate","No","Agree",">1M"
"Female","Millennial (Ages 26-41)","California ","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Chinese ","100-150k","Married","Graduate","Undergraduate","Yes","Neutral","12M"
"Female","Millennial (Ages 26-41)","Seoul, South Korea","Pacific","Immigrant (Moved to country, Student VISA, etc)","Korean-American","50-100k","Single","Graduate","Undergraduate","No","Neutral","51-100k"
"Male","Millennial (Ages 26-41)","Us","Pacific","Second Generation (You are a child of first generation)","Chinese American","200k+","Married","Undergraduate","Undergraduate","Yes","Strongly Agree","More"
"Female","Millennial (Ages 26-41)","Taiwan","Midwest","Immigrant (Moved to country, Student VISA, etc)","Asian-Taiwanese ","200k+","Single","Graduate","Undergraduate","Yes","Agree","51-100k"
"Female","Millennial (Ages 26-41)","","Pacific","First Generation Citizen (You are a child of someone who immigrated to US)","Asian- Vietnamese ","100-150k","Single","Graduate","Undergraduate","Yes","Agree","100-150k"
"Female","Millennial (Ages 26-41)","Pakistan","Pacific","Immigrant (Moved to country, Student VISA, etc)","Pakistan","<50k","Single","Graduate","","Yes","Agree","<10k"
